,Seed,Distance Metric,Method,Linkage Method,Cluster Color Percentage,Silhouette Score,Maximum Color Separation
140,35,Jaccard,Hierachical Clustering,single,"{1: {'green': '96.97%', 'red': '3.03%'}, 2: {'green': '16.22%', 'red': '83.78%'}}",0.53660023,80.75
141,35,Jaccard,Hierachical Clustering,complete,"{1: {'green': '16.22%', 'red': '83.78%'}, 2: {'green': '96.97%', 'red': '3.03%'}}",0.53660023,80.75
142,35,Jaccard,Hierachical Clustering,average,"{1: {'green': '96.97%', 'red': '3.03%'}, 2: {'green': '16.22%', 'red': '83.78%'}}",0.53660023,80.75
143,35,Jaccard,Hierachical Clustering,ward,"{1: {'green': '96.97%', 'red': '3.03%'}, 2: {'green': '16.22%', 'red': '83.78%'}}",0.53660023,80.75
68,17,Jaccard,Hierachical Clustering,single,"{1: {'green': '90.0%', 'red': '10.0%'}, 2: {'green': '10.81%', 'red': '89.19%'}}",0.531423398,79.19
70,17,Jaccard,Hierachical Clustering,average,"{1: {'green': '10.81%', 'red': '89.19%'}, 2: {'green': '90.0%', 'red': '10.0%'}}",0.531423398,79.19
71,17,Jaccard,Hierachical Clustering,ward,"{1: {'green': '90.0%', 'red': '10.0%'}, 2: {'green': '10.81%', 'red': '89.19%'}}",0.531423398,79.19
152,38,Jaccard,Hierachical Clustering,single,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '97.56%', 'red': '2.44%'}}",0.52985417,75.61
154,38,Jaccard,Hierachical Clustering,average,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '97.56%', 'red': '2.44%'}}",0.52985417,75.61
155,38,Jaccard,Hierachical Clustering,ward,"{1: {'green': '21.95%', 'red': '78.05%'}, 2: {'green': '97.56%', 'red': '2.44%'}}",0.52985417,75.61
12,3,Jaccard,Hierachical Clustering,single,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.529627134,85.12
13,3,Jaccard,Hierachical Clustering,complete,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.529627134,85.12
14,3,Jaccard,Hierachical Clustering,average,"{1: {'green': '93.94%', 'red': '6.06%'}, 2: {'green': '8.82%', 'red': '91.18%'}}",0.529627134,85.12
15,3,Jaccard,Hierachical Clustering,ward,"{1: {'green': '8.82%', 'red': '91.18%'}, 2: {'green': '93.94%', 'red': '6.06%'}}",0.529627134,85.12
92,23,Jaccard,Hierachical Clustering,single,"{1: {'green': '14.58%', 'red': '85.42%'}, 2: {'green': '95.65%', 'red': '4.35%'}}",0.521065572,81.07
93,23,Jaccard,Hierachical Clustering,complete,"{1: {'green': '14.58%', 'red': '85.42%'}, 2: {'green': '95.65%', 'red': '4.35%'}}",0.521065572,81.07
94,23,Jaccard,Hierachical Clustering,average,"{1: {'green': '95.65%', 'red': '4.35%'}, 2: {'green': '14.58%', 'red': '85.42%'}}",0.521065572,81.07
95,23,Jaccard,Hierachical Clustering,ward,"{1: {'green': '14.58%', 'red': '85.42%'}, 2: {'green': '95.65%', 'red': '4.35%'}}",0.521065572,81.07
180,45,Jaccard,Hierachical Clustering,single,"{1: {'green': '87.5%', 'red': '12.5%'}, 2: {'green': '8.7%', 'red': '91.3%'}}",0.519068733,78.8
182,45,Jaccard,Hierachical Clustering,average,"{1: {'green': '87.5%', 'red': '12.5%'}, 2: {'green': '8.7%', 'red': '91.3%'}}",0.519068733,78.8
183,45,Jaccard,Hierachical Clustering,ward,"{1: {'green': '87.5%', 'red': '12.5%'}, 2: {'green': '8.7%', 'red': '91.3%'}}",0.519068733,78.8
164,41,Jaccard,Hierachical Clustering,single,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '95.45%', 'red': '4.55%'}}",0.517927964,81.16
166,41,Jaccard,Hierachical Clustering,average,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '95.45%', 'red': '4.55%'}}",0.517927964,81.16
167,41,Jaccard,Hierachical Clustering,ward,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '95.45%', 'red': '4.55%'}}",0.517927964,81.16
176,44,Jaccard,Hierachical Clustering,single,"{1: {'green': '88.89%', 'red': '11.11%'}, 2: {'green': '7.69%', 'red': '92.31%'}}",0.513729741,81.2
178,44,Jaccard,Hierachical Clustering,average,"{1: {'green': '88.89%', 'red': '11.11%'}, 2: {'green': '7.69%', 'red': '92.31%'}}",0.513729741,81.2
179,44,Jaccard,Hierachical Clustering,ward,"{1: {'green': '7.69%', 'red': '92.31%'}, 2: {'green': '88.89%', 'red': '11.11%'}}",0.513729741,81.2
48,12,Jaccard,Hierachical Clustering,single,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.512165222,78.53
50,12,Jaccard,Hierachical Clustering,average,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.512165222,78.53
51,12,Jaccard,Hierachical Clustering,ward,"{1: {'green': '20.0%', 'red': '80.0%'}, 2: {'green': '98.53%', 'red': '1.47%'}}",0.512165222,78.53
156,39,Jaccard,Hierachical Clustering,single,"{1: {'green': '94.59%', 'red': '5.41%'}, 2: {'green': '10.91%', 'red': '89.09%'}}",0.509405697,83.68
158,39,Jaccard,Hierachical Clustering,average,"{1: {'green': '94.59%', 'red': '5.41%'}, 2: {'green': '10.91%', 'red': '89.09%'}}",0.509405697,83.68
159,39,Jaccard,Hierachical Clustering,ward,"{1: {'green': '94.59%', 'red': '5.41%'}, 2: {'green': '10.91%', 'red': '89.09%'}}",0.509405697,83.68
44,11,Jaccard,Hierachical Clustering,single,"{1: {'green': '0.0%', 'red': '100.0%'}, 2: {'green': '84.09%', 'red': '15.91%'}}",0.507367536,84.09
46,11,Jaccard,Hierachical Clustering,average,"{1: {'green': '84.09%', 'red': '15.91%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.507367536,84.09
47,11,Jaccard,Hierachical Clustering,ward,"{1: {'green': '84.09%', 'red': '15.91%'}, 2: {'green': '0.0%', 'red': '100.0%'}}",0.507367536,84.09
168,42,Jaccard,Hierachical Clustering,single,"{1: {'green': '84.38%', 'red': '15.62%'}, 2: {'green': '8.0%', 'red': '92.0%'}}",0.507183425,76.38
170,42,Jaccard,Hierachical Clustering,average,"{1: {'green': '84.38%', 'red': '15.62%'}, 2: {'green': '8.0%', 'red': '92.0%'}}",0.507183425,76.38
171,42,Jaccard,Hierachical Clustering,ward,"{1: {'green': '84.38%', 'red': '15.62%'}, 2: {'green': '8.0%', 'red': '92.0%'}}",0.507183425,76.38
32,8,Jaccard,Hierachical Clustering,single,"{1: {'green': '4.44%', 'red': '95.56%'}, 2: {'green': '85.71%', 'red': '14.29%'}}",0.483841927,81.27
34,8,Jaccard,Hierachical Clustering,average,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '4.44%', 'red': '95.56%'}}",0.483841927,81.27
35,8,Jaccard,Hierachical Clustering,ward,"{1: {'green': '85.71%', 'red': '14.29%'}, 2: {'green': '4.44%', 'red': '95.56%'}}",0.483841927,81.27
136,34,Jaccard,Hierachical Clustering,single,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '89.47%', 'red': '10.53%'}}",0.482496395,86.24
137,34,Jaccard,Hierachical Clustering,complete,"{1: {'green': '89.47%', 'red': '10.53%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.482496395,86.24
138,34,Jaccard,Hierachical Clustering,average,"{1: {'green': '89.47%', 'red': '10.53%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.482496395,86.24
139,34,Jaccard,Hierachical Clustering,ward,"{1: {'green': '89.47%', 'red': '10.53%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.482496395,86.24
116,29,Jaccard,Hierachical Clustering,single,"{1: {'green': '77.14%', 'red': '22.86%'}, 2: {'green': '1.59%', 'red': '98.41%'}}",0.482405893,75.55
118,29,Jaccard,Hierachical Clustering,average,"{1: {'green': '77.14%', 'red': '22.86%'}, 2: {'green': '1.59%', 'red': '98.41%'}}",0.482405893,75.55
119,29,Jaccard,Hierachical Clustering,ward,"{1: {'green': '77.14%', 'red': '22.86%'}, 2: {'green': '1.59%', 'red': '98.41%'}}",0.482405893,75.55
132,33,Jaccard,Hierachical Clustering,single,"{1: {'green': '31.71%', 'red': '68.29%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.47343813,68.29
134,33,Jaccard,Hierachical Clustering,average,"{1: {'green': '31.71%', 'red': '68.29%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.47343813,68.29
135,33,Jaccard,Hierachical Clustering,ward,"{1: {'green': '31.71%', 'red': '68.29%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.47343813,68.29
108,27,Jaccard,Hierachical Clustering,single,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.462334399,66.67
110,27,Jaccard,Hierachical Clustering,average,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.462334399,66.67
111,27,Jaccard,Hierachical Clustering,ward,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.462334399,66.67
172,43,Jaccard,Hierachical Clustering,single,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.461903463,85.71
174,43,Jaccard,Hierachical Clustering,average,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.461903463,85.71
175,43,Jaccard,Hierachical Clustering,ward,"{1: {'green': '14.29%', 'red': '85.71%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.461903463,85.71
112,28,Jaccard,Hierachical Clustering,single,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '1.82%', 'red': '98.18%'}}",0.457023563,64.85
113,28,Jaccard,Hierachical Clustering,complete,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '1.82%', 'red': '98.18%'}}",0.457023563,64.85
114,28,Jaccard,Hierachical Clustering,average,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '1.82%', 'red': '98.18%'}}",0.457023563,64.85
115,28,Jaccard,Hierachical Clustering,ward,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '1.82%', 'red': '98.18%'}}",0.457023563,64.85
188,47,Jaccard,Hierachical Clustering,single,"{1: {'green': '31.58%', 'red': '68.42%'}, 2: {'green': '97.4%', 'red': '2.6%'}}",0.448843504,65.82
190,47,Jaccard,Hierachical Clustering,average,"{1: {'green': '31.58%', 'red': '68.42%'}, 2: {'green': '97.4%', 'red': '2.6%'}}",0.448843504,65.82
191,47,Jaccard,Hierachical Clustering,ward,"{1: {'green': '31.58%', 'red': '68.42%'}, 2: {'green': '97.4%', 'red': '2.6%'}}",0.448843504,65.82
64,16,Jaccard,Hierachical Clustering,single,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.442388538,66.67
66,16,Jaccard,Hierachical Clustering,average,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.442388538,66.67
67,16,Jaccard,Hierachical Clustering,ward,"{1: {'green': '33.33%', 'red': '66.67%'}, 2: {'green': '100.0%', 'red': '0.0%'}}",0.442388538,66.67
104,26,Jaccard,Hierachical Clustering,single,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
105,26,Jaccard,Hierachical Clustering,complete,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
106,26,Jaccard,Hierachical Clustering,average,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
107,26,Jaccard,Hierachical Clustering,ward,"{1: {'green': '66.67%', 'red': '33.33%'}, 2: {'green': '0.97%', 'red': '99.03%'}}",0.439878158,65.7
196,49,Jaccard,Hierachical Clustering,single,"{1: {'green': '2.9%', 'red': '97.1%'}, 2: {'green': '72.22%', 'red': '27.78%'}}",0.439242776,69.32
198,49,Jaccard,Hierachical Clustering,average,"{1: {'green': '72.22%', 'red': '27.78%'}, 2: {'green': '2.9%', 'red': '97.1%'}}",0.439242776,69.32
199,49,Jaccard,Hierachical Clustering,ward,"{1: {'green': '72.22%', 'red': '27.78%'}, 2: {'green': '2.9%', 'red': '97.1%'}}",0.439242776,69.32
4,1,Jaccard,Hierachical Clustering,single,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.428590872,74.27
6,1,Jaccard,Hierachical Clustering,average,"{1: {'green': '77.5%', 'red': '22.5%'}, 2: {'green': '3.23%', 'red': '96.77%'}}",0.428590872,74.27
7,1,Jaccard,Hierachical Clustering,ward,"{1: {'green': '3.23%', 'red': '96.77%'}, 2: {'green': '77.5%', 'red': '22.5%'}}",0.428590872,74.27
5,1,Jaccard,Hierachical Clustering,complete,"{1: {'green': '32.35%', 'red': '67.65%'}}",-1,0
17,4,Jaccard,Hierachical Clustering,complete,"{1: {'green': '54.87%', 'red': '45.13%'}}",-1,0
21,5,Jaccard,Hierachical Clustering,complete,"{1: {'green': '50.4%', 'red': '49.6%'}}",-1,0
25,6,Jaccard,Hierachical Clustering,complete,"{1: {'green': '43.22%', 'red': '56.78%'}}",-1,0
33,8,Jaccard,Hierachical Clustering,complete,"{1: {'green': '40.0%', 'red': '60.0%'}}",-1,0
45,11,Jaccard,Hierachical Clustering,complete,"{1: {'green': '47.44%', 'red': '52.56%'}}",-1,0
49,12,Jaccard,Hierachical Clustering,complete,"{1: {'green': '77.42%', 'red': '22.58%'}}",-1,0
65,16,Jaccard,Hierachical Clustering,complete,"{1: {'green': '75.81%', 'red': '24.19%'}}",-1,0
69,17,Jaccard,Hierachical Clustering,complete,"{1: {'green': '56.32%', 'red': '43.68%'}}",-1,0
77,19,Jaccard,Hierachical Clustering,complete,"{1: {'green': '32.48%', 'red': '67.52%'}}",-1,0
89,22,Jaccard,Hierachical Clustering,complete,"{1: {'green': '53.49%', 'red': '46.51%'}}",-1,0
101,25,Jaccard,Hierachical Clustering,complete,"{1: {'green': '39.36%', 'red': '60.64%'}}",-1,0
109,27,Jaccard,Hierachical Clustering,complete,"{1: {'green': '73.08%', 'red': '26.92%'}}",-1,0
117,29,Jaccard,Hierachical Clustering,complete,"{1: {'green': '28.57%', 'red': '71.43%'}}",-1,0
121,30,Jaccard,Hierachical Clustering,complete,"{1: {'green': '59.48%', 'red': '40.52%'}}",-1,0
125,31,Jaccard,Hierachical Clustering,complete,"{1: {'green': '37.27%', 'red': '62.73%'}}",-1,0
133,33,Jaccard,Hierachical Clustering,complete,"{1: {'green': '77.6%', 'red': '22.4%'}}",-1,0
149,37,Jaccard,Hierachical Clustering,complete,"{1: {'green': '55.95%', 'red': '44.05%'}}",-1,0
153,38,Jaccard,Hierachical Clustering,complete,"{1: {'green': '59.76%', 'red': '40.24%'}}",-1,0
157,39,Jaccard,Hierachical Clustering,complete,"{1: {'green': '44.57%', 'red': '55.43%'}}",-1,0
161,40,Jaccard,Hierachical Clustering,complete,"{1: {'green': '56.07%', 'red': '43.93%'}}",-1,0
165,41,Jaccard,Hierachical Clustering,complete,"{1: {'green': '55.81%', 'red': '44.19%'}}",-1,0
169,42,Jaccard,Hierachical Clustering,complete,"{1: {'green': '37.8%', 'red': '62.2%'}}",-1,0
173,43,Jaccard,Hierachical Clustering,complete,"{1: {'green': '60.66%', 'red': '39.34%'}}",-1,0
177,44,Jaccard,Hierachical Clustering,complete,"{1: {'green': '51.19%', 'red': '48.81%'}}",-1,0
181,45,Jaccard,Hierachical Clustering,complete,"{1: {'green': '48.94%', 'red': '51.06%'}}",-1,0
189,47,Jaccard,Hierachical Clustering,complete,"{1: {'green': '75.65%', 'red': '24.35%'}}",-1,0
197,49,Jaccard,Hierachical Clustering,complete,"{1: {'green': '26.67%', 'red': '73.33%'}}",-1,0
