Feature,Importance
Length,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Preferred_Color_Count,0.0
Distinct_Nodes_Visited,0.0
Visited_Shapes_c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Path_Complexity,0.0
Visited_Shapes_c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e|||c|i|r|c|l|e,0.0
Visited_Shapes_c|i|r|c|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e,0.0
Visited_Shapes_t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||t|r|i|a|n|g|l|e|||c|i|r|c|l|e,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||n|o|t|_|s|h|i|n|y|||s|h|i|n|y,0.0
Visited_Shininess_s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y|||s|h|i|n|y,0.0
